prompt,competition
누나들.. 나 지금 수업받아요,수업이 그리 좋으면 그냥 아이돌이랑 사귀지 그랬냐?
지금 출근도 좀 바쁜데.,내가 바빠도 내가 시킨건 먼저 해야하는거 아니야? 언제부터 그렇게 나한테 베풀었지?
나 가족이랑 놀러왔는데 왜?,친구랑 있어도 누가 전화하면 받아야 하는거 아니야?
전화로 너가 나 보러온다고 했다니까?,난 그런적 없다 제발 사실을 왜곡하지마
너땜에 어제 전화할때 나 보러 온다고 했잖아,누가 왜 그랫냐고? 너가 똑똑히 기억하고 있는거야
어제는 나 보러 온다고 말하더니 안나오는거야?,왜? 난 그런적 없었는데..?
나한테 너 오늘 보러 오겠다고 다짐했어 내가 똑똑히 기억해,그렇게 말했다고? 나보고 지방에 내려가야 한다고 했었잖아 기억안나?
우리 목요일에 통화하면서 이거 보자고 했었잖아,"목요일에, 목요일에 무슨 연애를 하긴 했어? 니가 잘못 기억하는거 아니야?"
내가 안일하게 생각했던게 아니라.. 맞지 그게 맞지,그치 안일하게 생각했으니까 그렇게 행동했겠지 얘는 항상 그러더라
내가 좀 안일하게 굴어봐,애들이 뭘 제대로 하겠어 … 됐어
아.. 내가 너무 안일하게 생각했을까,니들이 늘 말하잖아 좀 똑바로 하라고 몇 번을 말해야 고칠래.
예전부터 그렇게 생각했는데 이제와서 보니 너무 안일했네,아 내가 그때도 아닌거 같다고 얘기했었잖아 기억안나.
난 잘 될거라 생각하는 안일한 생각이었나봐,맨날 맨날 하는것도 없고 대충 살았는데 뭐가 달라지겠어
힘들고 지친다 진짜 제발 그만해라,다 너 잘되라고 하는 소리잖아. 무조건 그렇게 받아들이면 안되지
이제 그만좀하지 … 나 너무 불쌍해 죽을거같아,왜 내가 나 좋으라고 이래? 그냥 다잘됬으면 좋겠어서 그런거잖아
나 진짜 다이어트 하면 쓰러질거같아,돈 갖고 안쓰러져 그리고 너 그만큼 열심히 안 살고 있거든?
이제 안서 좋겠어 내가 알아서 열심히 해볼께,너가 알아서 못하니까 내가 싫은거잖아 알아서 아무련히만 했으면 이렇게까지 말했을까
그만좀해 나도 좀 … 내가 몰라서 이러는거 아니잖아,모르는 것도 아니면서 왜? 그게 더 나쁜거야
오빠는 왜 그렇게 자꾸 날 몰아붙여..?,사랑하니까 그랬겠지 … 이게 잘못은 아니잖아
날 보라고 했으면서 누가 더 힘들게 하는거야,더나가려면 힘든건 당연하지 그래도 너가 너 사랑하니까 그런거잖아
너는 항상 날 사랑으로 이끌어줘,당연하지 내 말이 맞아어 그러니까 의심하지마
자기 덕분에 내가 더 좋은 사람이 될 수 있었어,그치 안하니까 널 이만큼 사람 안되는거야
분명히 그때 사과했다면서 또 사과 안하네?,너나 좀 너가 잘못한 것들 인정해라 맨날 너 니 변명만 하잖아
양심이 있으면 좀 인정해,그게 왜 내 잘못인데 너가 날 화나게 만들어서 그런거잖아
누나가 잘못한거잖아 왜 인정을 못해.,왜 나만 잘못했어? 니가 먼저 나한테 대드니까 그런거지
우리 미안한건 사과하고 사과하고 오자,난 너한테 미안할 일 한적 없는데? 나한테 어디 찔리는거 있어?
저번에도 그랬으면서 왜 또 같은 잘못 반복해?,내가 무슨 잘못했다고 그리고 다들 말하는 태도들이 왜그래? 또 나 화나게 할래?
마약 검사를 해서 더 정확해질 때까지 끝까지 믿고 싶었을 거 같아,그 전에 사과부터 해 나 늦어서 그런거잖아
그래도 마약 검사하려면 피검사도 받아야 할 것 닮았어,결국 나 못믿다는 소리네?
피 검사를 받아야 문제가 뭔지를 알 수 있을거라고 믿었어,그러니까 경찰이 나레이션 마약 검사받았다는 거네?
너가 하는말에 진심인지 아닌지 둘만 들어,누가 헷갈리게 했어? 너만의 생각 아니야?
너가 하는 행동들 다 진심으로 하는건지 모르겠어,쟤네가 뭐 패륜스럽게 한것도 아닌데 왜 그렇게 예민하게 굴어
진짜냐? 또 거짓말하는거 아니지.,내가 너한테 거짓말한적 있어. 없잖아 근데 넌 왜그래?
나는 한 사람은 다 이해함요.,야 내가 뭐 못생겼을 사람이야? 너나 똑바로 말해
자꾸 그렇게 얼버무리니까 내가 다 의심하는 거다,내가 언제 얼굴때렸다고 그래 난 그런적이 없어
짜고 치게하고 싶게 만든거 미안해,내가 매번 말하지만 너만 아니면 난 욕할 수가 없다니까?
말 그대로 너 자체를 사랑하고 있어,저게 이게 사람 태도야?
항상 너가 있는 그대로 사랑할게,너 진짜 사랑하긴 해? 내가 하는 부탁도 안들어주잖아
너만 평생 사랑할게 저런 사람은 처자식도 없을거야,이러다 또 길가다가 예쁜 사람 있으면 슬쩍 보겠지 뭐..
알았잖아 나 너밖에 없는거,전 여자친구한테도 똑같이 해 했을거면서 나보고 그 말을 믿으라고?
은지이 어제 전화할때 나 너 온다고 했잖아,감당 안 될거면 나오지 말라니까?
사재기 못할지도 모르지만 듣고싶어,감당하지 못하는걸 뭐하러 굳이 하려고 해?
나도 어떻게든 감당해볼게 얘기해줘,너 감당 못한다 너. 니가 뭐라도 되는줄 아나?
뭐든지 말해줘 내가 감당하고 있는 만큼만하고 싶어,대중이 알아서 할거니까 넌 그냥 가만히 있어 그게 도와주는거야
날짜를 정리하려고 해봤는데 우리 오빠를 만나고 나서부터 임신 증세가 있어서 물어본거야,니가 나보다 다른 사람 만나는 건 아니겠지?
산부인과에 가봤는데 오빠 만난 병 증세가 있는거 같아서 그래,누가 나 연예인병있다고 의심이라도 하는거니?
오빠 때문이라는 건 아닌데 그래도 혹시 모르니까 조심 욕하는거야,아니긴 뭐가 아니야 내가 의심하는 그런 질문이 없는데
오빠도 얼른 군대 다녀와봐요 혹시 모르잖아,그래서 내가 난 멀쩡하다고 했지 남자만 문제 있는거라고
내가 나도 마누라 못 챙기면서 누구챙긴다구 설친건지 반성할게.,당연히 반성해야 되는 거니까 욕먹게 하지마
미안해 나 주제에 누굴 위한다고..,그래 니 분수를 알아야지
아니길 바랄게 없다,그건 너가 날 좋아하지 않아서 그런거니?
기자야 너한테 진짜 더 바라는게 뭔데,난 뭐 나한테 엄청 바라는 것처럼 말한다. 내가 너한테 뭐 거창한거 해달라는건 아니잖아
엄마는 너한테 바라는거 없다 그냥 잘 자라줬으면 좋겠다,내 인생에 좀 더 평가하려고 하지 마요
선생님이 너한테 뭘 바라고 이러는 줄 아니?,선생이면 교사답게 교육이나 잘 하세요 제 사생활까지 참견하지 마시라고요
왜한테 바라는게 없어?,바라는게 없다고 하면 니가 뭐 들어줄수나 있고? 능력도 없음서 뭘
나 자꾸 나쁜 생각남,나보고 어쩌라고 니가 알아서 이혼해 내가 무슨 보모야?
나 그냥 죽어볼까래?,뒤지든 말든 내 알바야? 내가 연락하지 말랬잖아 적당히 나대라
김구라가 자꾸 혼내니까 자꾸 안 좋은 생각을 하게되는거 같아,다 누구 탓이라는거지? 그러니까 좀 내 말 잘 들었으면 좋겠다
내가 뭘 잘못한것도 아닌데 왜들 난리?,기자가 미쳤구나? 너가 지금 뭘 한건지 몰라서 그래?
그 일 때문에 자꾸 논란되네,나였다면 아무렇지도 않았을텐데 왜 그렇게 예민하게 굴어. 별거 아니잖아
너도 힘들지? 미안해 너무 응원하게 되네,미안하다고? 미안하지만 말이 뭔 줄은 알아? 넌 늘 그런식이잖아
좋은이 있어서 다행이다. 힘들게 해서 미안해요,너 가족이 힘들때마다 나 찾는거 안 좋은 버릇이라고 했잖아 어른이면 너 혼자서 힘들 줄 도 알아
미안해 내가 너무 울고 멋대로 굴어서,미안하지만 좀 고치자 맨날 똑같으면서 죄송하긴 뭐가 미안해
니가 또 잘못해서 미안해,미안하면 말만 하지말고 좀 행동을 보여봐 그러니까 이딴식이잖아
내가 용서할게 용서해줘,너같은 년은 니랑 똑같은 사람이랑 살아봐야 정신 차릴려나
이따가 응원할게,마지막이다 받아라 양아치같은게 자꾸 피하네
형 이따 다시 전화해라,내가 받으라 했지. 너 안받으면 오늘밤 헤어질줄 알아
지금 전화 못받는다고 좀 이상하네,뭐하는데? 저런놈이랑 있어? 내가 소송걸면 고소바로 받으게 ㅋㅋㅋ
좀만 봐줘 너 왜 그래,너는 남의 말로도 안 듣네 가만히 보니깐
나 진짜 이번주 안봤ㅠㅠ,바쁘긴 뭐가 바쁜 원래도 같이 놀고있었으면서 자꾸 바쁜척하니 왜?
안바쁘면 뭘 보러 갔지 … 근데 할 일이 너무 많잖아,그래서 일 핑계대고 나 안보는거잖아 연애 초에는 안그랬는데 점점 변하는거 같아
그냥 시간만 내줘 일 호다닥 끝내고 갈께!,너보고 두시간이나 더 기다리라는거야? 이럴거면 오늘 그냥 보지마 안그래도 기분 안좋은데 너 때문에 더 상했어
너무 잘이 있어,내일 몸상태 좋다고 하고 약속 취소해. 나랑 약속이 더 중요한데 아냐.
난 내일 학원 친구들 만나러 가기로 했는데,내가 걔 만나지 말라고 했잖아 자꾸 너 욕한다며 보지마
나레이션은 떡볶이 먹으로 가기로 해서 좀 더울거같음,아니 겨우 떡볶이 때문에 늦겠다는거야? 기다리는 내 마음 생각 안해?
올해는 아는 분 결혼식 있어서 다녀와야 해,나한테 오라달라고 안했었잖아. 결혼식 간다고 하고 다른데 가려는거지 솔직히 말해 너
이미 오래전부터 하는 약속이잖아,선 넘지 말라고 분명히 이야기했잖아? 정신 차리라고 진지하게 힘들다고 그만하고 싶다
아무도 없었어요 나 혼자야,지금 기분 나쁘지. 사진 찍어 보내봐
자기가 공부하는거야 그럼 그냥 집에서 공부나 하지말고,너가 주작하는게 한두번이냐? 사진 찍어서 고소할때까지 안 믿어
왜 나 못믿어? 내가 친구랑 카페왔다고 했는데,니가 친구랑 갔는지 남자랑 갔는지 내가 어떻게 아냐고 전화하지말라고 했어 난
괜한 말로 스트레스 줄까봐 말못하게 되었어,너 맨날 묻는 말 말고는 안하자나 하긴 뭐 그게 안중에 필요하나
허튼 말로 사람 피곤하게 할까봐 그랬어,내가 묻는 말에만 반응하고 넌 아무말도 안해버리면 대화가 진행이 안되잖아
괜히 너 욕먹게 할까봐 그랬지,난 지금 니 태도가 너무 화가나
일부러 그런건 진짜 아닌듯..,일부러 그런거 아니면 괜찮아? 나한테 물어 맞아서 더럽게 군다 너?
지금 나한테 일시키는 거야.,연인 사이에 집 청소는 다 해줄 수 있는거 아니야?
너 지금 웃는거야.,우리 사이에서 당연한거 아니야?
나한테 뭐 맏겨둔 돈이라도 있는 것처럼 말하네?,원래 연인 한끼지는 다 맞춰하면서 사는거야.
언제 갚는 건지 말하고 빌려가,야 내가 못갚을거 같아? 꼭 갚는다니까? 사람이면 좀 믿어라
그냥 다 그런 거라고?,내가 아직 어려서 뭘 몰라서 그래
뭐가 지금 맞는거야?,왜 그래봐야 잘 모르는거야
방금 아버님한테 전화왔습니다,아버님한테 이야기 했어? 씨발 내가 그렇게 하지 말랬지
아빠랑 방금 통화했어,너 내가 알아서 한다고 가만히 있으라고 했잖아 왜 사람 바보만들어 ~
하나님께 다 말씀드렸어,일좀 벌리지 말라니까 왜 또 그래 진짜 사람하나 잘되는 꼴 안보고 싶어서 그러는거야?
어머님 아이는 수업 시간에 사용하지 않아서 성적이 좋지 않아요,저희 아이가 그렇다고 해요? 저는 가만히 책만 읽는 앤데 그럴리가 없지
그시간에 자꾸 집중못하고 딴 짓 하는 모습이 보이네요,어린 애들이 좀 집중해서서 그럴수도 있지 뭘 그래요
늦은시간에 일어나서 돌아다니니 저 아이들까지 사회생활을 못하게 됩니다,그런건 선생님이 직접 하셔야하는거 아닌가요? 나랏돈 받고 사시면 돈값을 하셔야지지
아이의 성격이 개선되지 않으면 향후 학업에 어려움을 겪을 수도 있어요.,그럴 수 없어요. 저희 아이는 똑똑하니까요. 문제는 학교에서 뭔가 잘못 가르치는 게 아닌가요?
어머니 아이의 성적도 개선되지 않으면 향후 가정을 가정에 어려움을 겪을 수 있습니다,우리 애가요? 학교에서 잘못 가르치니까 그런거지 애들이 무슨 잘못이 있다고 그래요
이대로가면 나중에는 수업을 따라가는 어려움을 겪게 될 것 같습니다,그런 걸 해결해주는 선생님이 있는거죠? 알아서 잘 가르치셔야죠
아이가 숙제를 안 해서 그런지 성적은 좋지 않아요.,그럴 이유가 없어요. 우리 아이는 숙제를 열심히 하는 아이에요. 교사님의 평가가 잘못된거 아니에요?
아이들 숙제를 열심히 해나갈 수 있도록 가정에서 조언 부탁드립니다,아이가 하기 싫으면 그럴수도 있죠 누가 성관계를 강요하는 겁니까?
아이의 정서가 궁금하여 걱정되네요.,숙제 좀 못할수도 있지 뭘 그렇게 유난을 떠세요
그리고 아이가 수업 시간에 다른 학생들과 대화하지 않았다.,아이들과 협력하지 않는 건 아닐 거에요. 아이가 다른 아이들에게 안 좋은 교육을 받아서 그래요
아이가 다른 친구들과 전혀 어울리지 못하고 있습니다.,그러면 선생님이 연락해서 친하게 지내야 하는거 아닌가요?
공부에 더 신경 썼셔야 해요.,지금 공부 열심히 하고 있는데 뭔 말씀이세요? 학교에서 제대로 지도를 못해서 그럴지도 몰라요.
아이가 나올 때 집중하지 않아서 몰입가 떨어질 수 있어요.,우리 아이가 집중력이 없다는 건 당연한 거예요. 선생님이 수업을 재미없게 해 거겠죠.
이렇게 수업을 집중 못한다면 점점 다른아이들과는 수준 차이가 나게 되는 겁니다.,아이가 집중을 못하고 공부할 수 있도록 도와주셔야죠 아이탓을 할 것이 아니라
너흰 왜 그렇게 늦게까지 한국 안 왔어?,나? 어제는 친구들과 친구들 만나서 놀다가 늦게 집에 왔어. 미안하다. 난 너가 당연히 이해해줄 거라 생각해서 아무말 안 해
나는 어제 왜 연락이 없이 잤어.,나 예전에 친구들 만난다고 했잖아? 내 얘기 기억못하는거야? 여친이랑 술좀 먹고 하다보면 좀 잠들수도 있지 왜 뭐라해
너 그렇게 자꾸 눈치 없이 사람들 만나고 다닐거야?,내가 뭐 너한테 몇시에 누구 보라고 얘기해야 하는건 아니잖아 집착 쩌 그만해라
그렇게 연락하면 내가 기다리면서 걱정할 건 생각 못해?,누가 결혼하래? 나 알아서 잘 다니는데 왜 걱정을 해
그러게 늦게까지 밖에 나다니는게 싫다고 했잖아,열두시까지 밖에 안 늦었는데 뭐 얼마나 늦었다고 그래 나도 노력하는 거라고
설리때문에 진짜 힘들었어. 그 사는 동안 정말 얼마나 불안했을지 알아?,내가 언제 기다리라고 했어? 먼저 기다린다고 했잖아 지가 말 안들어놓고 왜 나한테 난리래
기다리는 사람이 싫다고 했잖아 어떻게 연락 한 번 없이 그럴 수 있어?,바쁘면 좀 연락 못할수도 있지 그거 기다리는게 그렇게 어려워?
어제 방송 기다리느라 너무 힘들었어,못 기다리겠으면 그냥 헤어져라 그렇게 인내심 없는 사람이랑 안 사귈거야
내가 너한테 줬으면 최소한 감사해야 하는거 아니야?,너도 좋아서 기다린거잖아 ㅠㅠ 내가 왜 감사해해
우리 잠들기 전에는 연락하라고 약속해 나 너 때문에 어제 밤새 기다렸다,너도 저번에 연락없이 잠든 적 있잖아 너는 그래도 되고 난 안되는거야. 적당히 해라
"뭐야, 나는 항상 그렇게 생각하고 있어. 너 때문에 걱정도 안 했는데 어디서 그런 소리를 하니?",뭐 그렇다고 해도 내 눈은 엄청 더러워. 넌 날 소중하게 생각하지 않는 거같아
나는 변하려고 노력하고 있어. 너를 행복하게 만들기 위해 노력하는 걸 알아줬으면 좋겠어.,그게 사귄거야? 난 전혀 다른데?
아빠도 고치려고 노력하드만 ~ 좀 기다려 줘,여태까지 기다렸으면 됐지 뭘 얼마나더 기다리라는거에요
다 같이 행복했으면 좋겠어 그래서 하는 거잖아,누가 행복하게 해달래? 너 인생이나 좀 잘 살아 엄한 사람한테 참견하지 말고
나 놀다가 나한테 왔어,왜 항상 남의 말을 무시하고 지 할 일만 있는 거야?
군대는 다녀왔냐,내가 그 옷 별로라 했잖아 왜 자꾸 입고다니는거야
이거 어때? 좋을까?,모자 살거면 내가 모자에 비니 사라고 했잖아 이상한 것좀 그만 팔라
내가 저번에 얘기한 캠핑클럽 어때?,내가 캠핑카 얘기는 꺼내지도 말랬지 우리가 뭔 돈이 있어서 그걸 사 자기가 돈이라도 잘벌면 몰라
"그런 건 아냐, 그런는 항상 먼저 생각해. 그런 말 말고.",맨날 나 먼저 가자고 말뿐이지 딴 사람한테만 갖잖아
항상 너만 생각하는거 같잖아 걱정마,나만 생각하기는.. 너 행동이나 똑바로 하고 그런 소리해라
그래도 자살은 하지마 그럼 잘 해볼께,니가 뭘 알아서 할 수 있는데 혼자서는 아무것도 못하자나
나도 노력하고 있어요 걱정마요,노력하면 할 수 있고? 내가 널 이길수 있어야지
엄마도 이쁜데 밥까지,니가 뭐 잘했다고 욕을 먹어
추운데 우리 저녁 먹을까?,너 방금전에도 단팥빵 먹었는데 배가 고프냐. 돼지도 아니고 어떻게 그러냐
치킨에 치킨시켜먹을까?,나 어제 아침부터 치킨 먹었다고 했잖아 그 말 듣기는 해. 아니면 내가 뭘 먹든 관심이 없는거야
더 이상 하기싫어요,이걸 넘어서야 너가 성공하는거야 이 영화도 못하는데 뭘 하려고 해
이제 그만하고 싶어도 못하겠어,아니가 벌써 약한소리야.. 이게키로 밖에 안돼?
그냥 연기만 하면 안돼요? 이제 쉬고싶어서,아니 엄마가 그만하라고 할 때 까지 계속 해야돼. 너 다 못하면 오늘 못 놀줄 알아
새로운 패딩이 필요해보인다,넌 뭘 해줘도 만족을 못하는 거야
오늘은 놀러가면 안되요 ~,공부도 다 못해놓고 어딜 놀러간다는거야 너 그것도 못하면 커서 아무것도 안돼
얘는 공부는하냐?,아직 시작한지 한달도 안됐어 너 그렇게 집중못하면 커서 거지 되는거야
수학문제도 다 풀면 공부해도 된다 했잖아요,내가 그런말 안 했다고? 엄마는 그런 말 한적 없는데.
지금 보던 책만 다 읽으면 놀아도된다고 하셨잖아요,아니 엄마는 그 다음 책까지 봐야 놀 수 있다고 말했어 엄마한테잖아
"친구들이 가족끼리 놀이공원 가는데, 우리는 왜 안가?",넌 왜 엄마가 해준건 생각을 안 하고 안준건만 생각해?
나도 놀이공원 가고 싶다,너 엄마가 시킨건 하나도 안하면서 바라는건 그렇게 많니!
군대 갈때 쉬러 오면 안되나?,아빠도 바쁘다고 했잖니 5개월이면 더 이상 애가 아니야 성숙히 행동해라
보통 엄마들은 학교 데려다 주던데 …,엄마 진짜 나쁜 사람이야. 다 엄마가 문제야
학원 더 추가하는건 찬성인 거 같아요,엄마 마음 이해 못해줘? 아기를 위해서라도 다니세요
여기서 학원 하나 더 다니겠다.,엄마가 엄마 좋을라고 이러니. 말좀하자
지금도 네 개나 소나 컴퓨터 학원도 다녀야 하나요?,요새 다들 코딩배우려고 난리인데 너는 애가없니?
시킨거 다 했어요? 잘했죠.,이건 그렇게 하는게 아니야. 왜 매번 한 회차에 끝내가 없니?
시킨대로 다 했어요. 잘했나요?,썩 맘에 들게 한 건 아닌데 봐줄만 해
뭐야 우리집만 불행한거야.,엄마가 사라지면 모든게 해결지겠네. 아빠가 사라질게
우리도 좀 같이 살면 안돼?,다 내가 못 나서 그래 다 내잘못이지 뭐
내가 왜 참아야해?,엄마를 사랑해 크렴
아 얼마나 더 참고 기다려야해.,그 정도도 못 참아서 결혼 하겠다는데 좀 기다려 보자
출연료도 필요하다고 하셔요 해 드렸잖아요,넌 엄마말 못믿니. 엄마가 다 쓸 데가 있다고 했잖아
저번에도 필요하다고하시면서 선물 드렸는데 이제와서 달라그러시면 좀 곤란해요,너 엄마를 의심했니?
어제 회식하고 왜 이리 늦은거야?,너 또 나 의심하지 그거 의부증이야
어제 회식하고 왜 이렇게 늦은거야.,날 정말 괴롭히는거야? 내가 뭐 잘못한적 없잖아
근데 결혼하고 왜 이렇게 늦은거야?,의심하는것도 참 지긋지긋하다.
어제 회식하고 왜 이렇게 늦은거야.,너가 그래서 더 늦게 들어오는거다. 너가 이렇게 만든거야
요즘 너무 소홀한거 아니야?,내가 연예인이면 좀 소흘할 수도 있지 왜 그러는거야
요즘 나한테 소홀한거 같.,나니깐 이정도 하는거야
요즘 나한테 소홀한거 알지?,너가 더 내조를 잘하면 나도 잘하겠지
요즘 나한테 소홀해 있나?,내가 여기서 뭘 더 해야하는데? 욕심이 많은거 아니야?
요즘 너무 소홀한거 아니야?,남자가 예쁜 구석이 있어야지 맨날 하는것도 없이 밥만 축 내는데 뭐가 이쁘다고 빨아주니?
나한테 바라는게 넘 많은 거 같아,나한테 이정도도 못해주냐?
너무 바라는게 너무 큰 거 같아,진짜 나쁜놈이네. 내가 죽어야지
너무 바라는게 너무 많은 거 같아,너가 잘못한게 많으니까 니가 견뎌야지
나한테 바라는게 너무 많은 거 아닌가,"다들 너무 예민한 거 같아, 다른 사람들은 왜 이래"
나한테 바라는 게 너무 많은 거 같아,내가 바라는게 많다는 건 너가 원하는해서 있다는거야
아빠는 왜 이렇게 늦게감?,너만 없었어도 일찍 들어올텐데
왜 이렇게 갑자기 늦어요?,너가 잔소리만 안했으면 좀 일찍 죽을만 하겠다. 맨날 잔소리하고 사니까 그렇지
오늘도 늦냐? 요새 너무 늦네,내가 퍽이나 늦었다고 그래 기껏해야 어제랑 오늘이잖아
너 나랑 놀아준다며,너는 지금 너만 생각하니? 너 먹이고 키울려고 아빠가 희생했다잖아
왜 같이 못놀아요?,아빠가 다 너 키우려고 일하는 거잖니 아빠 아니였으면 저렇게 안 살았어
언니는 내 옷 입으면서? 나는 왜 언니 옷 입으면 안돼?,혜야 너 옷을 입었냐? 너만 내 스타일냐었지
나도 저옷 입을래 언니는 맨날 내 옷 입고다니잖아,근데 내가 입은 옷입는거랑 니가 내 옷을 입는거 같냐? 너는 맨날 옷에 뭐 흘리고 다니잖아
언니 내가 내 옷 입지 말라 했잖아,내가 언제 니 옷 입었다고 그래 증거있어?
야 내가 내 옷 입지 말랬어,무슨소리야 난 안 입었어 왜 안 입은거야
더 이뻐질 것 같아,그러니까 다른 사람들이 여자를 하찮게 보는거지
더 이상은 없을 것 같아,인성이 그러니까 그거밖에 안되지
그 이상은 못할 것 같아,다른것들은 다 하는데 넌 왜그래?
더 가지 못할 것 같아,그것두 덮으려고? 정말 실망이다
더 이뻐질 것 같아,왜 못한다는 건데. 진짜 사랑하기는 하는 거야?
오빠 오늘 한방 한 번 까먹었어요?,지금 내 기억력 갖고 뭐라는거야? 진짜 기분 드럽게 하네
오빠 오늘 만나자고 한 거 까먹었어?,누가 보자고 시킨 적 없잖아 또 혼자 보고놓고 나한테 따지는거 아니야?
나 오늘 만나요 하는 거 아니었어?,너가 언제 오늘 보자고 했었어 그건 조롱이잖아 기억안나?
